Ethnic group (20 categories),Observation
"Asian, Asian British or Asian Welsh: Bangladeshi",644881
"Asian, Asian British or Asian Welsh: Chinese",445619
"Asian, Asian British or Asian Welsh: Indian",1864318
"Asian, Asian British or Asian Welsh: Pakistani",1587819
"Asian, Asian British or Asian Welsh: Other Asian",972783
Asian,5515420
"Black, Black British, Black Welsh, Caribbean or African: African",1488381
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",623119
"Black, Black British, Black Welsh, Caribbean or African: Other Black",297778
Black,2409278
Mixed or Multiple ethnic groups: White and Asian,488225
Mixed or Multiple ethnic groups: White and Black African,249596
Mixed or Multiple ethnic groups: White and Black Caribbean,513042
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,467113
Mixed,1717976
"White: English, Welsh, Scottish, Northern Irish or British",44355038
White: Irish,507465
White: Gypsy or Irish Traveller,67768
White: Roma,100981
White: Other White,3667997
White,48699249
Other ethnic group: Arab,331844
Other ethnic group: Any other ethnic group,923775
Other,1255619
